Markx,StationLines,subway,BannerFileName,TrainsbyStopID,Boro,StopID
,1 Av - L,1 Av,test,L,Manhattan,L06N
,103 St - 1,103 St,Undefined,1,Manhattan,119N
,103 St - 6,103 St,Pending,6,Manhattan,624N
,103 St - BC,103 St,Pending,BC,Manhattan,A18N
,103 St-Corona Plaza - 7,103 St-Corona Plaza,Undefined,7,Queens,706N
,104 St - A,104 St,Undefined,A,Queens,A63N
,104 St - JZ,104 St,Undefined,JZ,Queens,J14N
,110 St - 6,110 St,Undefined,6,Manhattan,623N
,111 St - 7,111 St,Undefined,7,Queens,705N
,111 St - A,111 St,Undefined,A,Queens,A64N
,111 St - J,111 St,Undefined,J,Queens,J13N
,116 St - 23,116 St,Undefined,23,Manhattan,226N
,116 St - 6,116 St,Undefined,6,Manhattan,622N
,116 St - BC,116 St,Undefined,BC,Manhattan,A16N
,116 St-Columbia University - 1,116 St-Columbia University,Undefined,1,Manhattan,117N
,121 St - JZ,121 St,Undefined,JZ,Queens,J12N
,125 St - 1,125 St,Undefined,1,Manhattan,116N
,125 St - 23,125 St,Undefined,23,Manhattan,225N
,125 St - 456,125 St,Undefined,456,Manhattan,621N
,125 St - ABCD,125 St,Undefined,ABCD,Manhattan,A15N
,135 St - 23,135 St,Undefined,23,Manhattan,224N
,135 St - BC,135 St,Undefined,BC,Manhattan,A14N
,137 St-City College - 1,137 St-City College,Undefined,1,Manhattan,115N
,138 St-Grand Concourse - 45,138 St-Grand Concourse,Undefined,45,The Bronx,416N
,14 St - 123,14 St,Undefined,123,Manhattan,132N
,14 St - ACE,14 St,Undefined,ACE,Manhattan,A31N
,14 St - FM,14 St,Undefined,FM,Manhattan,D19N
,14 St-Union Sq - 456,14 St-Union Sq,14 St-Union Sq,456,Manhattan,635N
,14 St-Union Sq - L,14 St-Union Sq,14 St-Union Sq,L,Manhattan,L03N
,14 St-Union Sq - NQRW,14 St-Union Sq,14 St-Union Sq,NQRW,Manhattan,R20N
,145 St - 123,145 St,Undefined,123,Manhattan,302N
,145 St - 123,145 St,Undefined,123,Manhattan,114N
,145 St - BDAC,145 St,Undefined,BDAC,Manhattan,D13N
,145 St - BDAC,145 St,Undefined,BDAC,Manhattan,A12N
,149 St-Grand Concourse - 245,149 St-Grand Concourse,Undefined,245,The Bronx,222N
,149 St-Grand Concourse - 245,149 St-Grand Concourse,Undefined,245,The Bronx,415N
,15 St-Prospect Park - FG,15 St-Prospect Park,Undefined,FG,Brooklyn,F25N
,155 St - BDAC,155 St,Undefined,BDAC,Manhattan,D12N
,155 St - C,155 St,Undefined,C,Manhattan,A11N
,157 St - 1,157 St,Undefined,1,Manhattan,113N
,161 St-Yankee Stadium - 4BD,161 St-Yankee Stadium,Undefined,4BD,The Bronx,414N
,161 St-Yankee Stadium - 4BD,161 St-Yankee Stadium,Undefined,4BD,The Bronx,D11N
,163 St-Amsterdam Av - C,163 St-Amsterdam Av,Undefined,C,Manhattan,A10N
,167 St - 4BD,167 St,Undefined,4BD,The Bronx,413N
,167 St - 4BD,167 St,Undefined,4BD,The Bronx,D10N
,168 St - AC,168 St,Undefined,AC,Manhattan,A09N
,168 St-Washington Hts - 1,168 St-Washington Hts,Undefined,1,Manhattan,112N
,169 St - F,169 St,Undefined,F,Queens,F02N
,170 St - 4BD,170 St,Undefined,4BD,The Bronx,D09N
,170 St - 4BD,170 St,Undefined,4BD,The Bronx,412N
,174 St - 25,174 St,Undefined,25,The Bronx,215N
,174-175 Sts - BD,174-175 Sts,Undefined,BD,The Bronx,D08N
,175 St - A,175 St,Undefined,A,Manhattan,A07N
,176 St - 4,176 St,Undefined,4,The Bronx,410N
,18 Av - DF,18 Av,Undefined,DF,Brooklyn,B19N
,18 Av - N,18 Av,Undefined,N,Brooklyn,N05N
,18 St - 1,18 St,Undefined,1,Manhattan,131N
,181 St - 1,181 St,Undefined,1,Manhattan,111N
,181 St - A,181 St,Undefined,A,Manhattan,A06N
,182-183 Sts - BD,182-183 Sts,Undefined,BD,The Bronx,D06N
,183 St - 4,183 St,Undefined,4,The Bronx,408N
,190 St - A,190 St,Undefined,A,Manhattan,A05N
,191 St - 1,191 St,Undefined,1,Manhattan,110N
,2 Av - F,2 Av,Undefined,F,Manhattan,F14N
,20 Av - DF,20 Av,Undefined,DF,Brooklyn,B20N
,20 Av - N,20 Av,Undefined,N,Brooklyn,N06N
,207 St - 1,207 St,Undefined,1,Manhattan,108N
,21 St - G,21 St,Undefined,G,Queens,G24N
